word,JPDB_rank,CEJC_rank,ADNO,ANIME_JDRAMA,AOZORA_BUNKO,BCCWJ,CC100,CHRISKEMPSON,DAVE_DOEBRICK,DD2_MIGAKU_NETFLIX,DD2_MIGAKU_NOVELS,DD2_MORPHMAN_NETFLIX,DD2_MORPHMAN_NOVELS,DD2_MORPHMAN_SHONEN,DD2_MORPHMAN_SOL,DD2_YOMICHAN_NOVELS,DD2_YOMICHAN_SHONEN,DD2_YOMICHAN_SHONEN_STARS,DD2_YOMICHAN_SOL,DD2_YOMICHAN_VN,HERMITDAVE_2016,HERMITDAVE_2018,H_FREQ,ILYASEMENOV,INNOCENT_RANKED,JITEN_ANIME,KOKUGOJITEN,MONODICTS,NAROU,NETFLIX,NIER,NOVELS,VN_FREQ,WIKIPEDIA_V2,YOUTUBE_FREQ,YOUTUBE_FREQ_V3
あおぞら,22380,4114,16657,11001,2896,12428,6466,10817,15639,13839,-1,14204,7576,17220,5828,5320,17220,16135,5619,6922,17236,13451,7936,11703,7693,12727,21866,18082,6910,16155,-1,6012,4792,7407,9099,50254
きば,22476,16266,10428,927,4951,21222,18070,10579,13770,2720,-1,2801,3165,706,5755,3063,706,653,5547,3340,5444,6082,5632,-1,4808,4635,6189,7667,1578,14242,5365,2989,3513,4237,6066,80337
とけい,22512,1753,3121,2549,1414,3874,2458,2665,2345,1864,-1,1917,1540,2697,2622,785,2697,2508,2534,2052,1431,1620,1823,9829,1910,5238,17812,3817,3017,2466,-1,1350,1169,3706,3312,2939
きぐ,22523,13446,7106,21190,9881,16696,7804,17140,10158,15179,-1,15573,14256,15311,17321,5317,15311,14351,16643,12082,13785,14045,24956,-1,11812,19914,9877,16632,5819,10389,5914,9763,7544,9949,5471,80349
ほうし,22526,7460,8480,17628,4650,11791,7729,23275,9748,5766,-1,5913,8079,16727,5564,5970,16727,15670,5364,3008,5460,5803,437,-1,8856,14208,3598,6527,8694,10141,9649,5222,2300,9798,15201,101306
けいじ,22686,16266,2445,600,4756,4041,4926,442,938,1019,-1,1053,717,7670,12539,2879,7670,7176,10584,10832,458,593,8220,10034,822,7524,8472,7582,17500,991,-1,1292,7857,973,8334,81608
かいふく,22730,5383,1868,1854,3915,2952,1475,3301,1786,1638,-1,1684,2841,1380,4475,1919,1380,1280,4315,2487,1389,1537,1995,-1,3070,2312,4179,3683,462,1878,143,2004,2041,2068,2160,57347
しょうかい,22762,726,840,1083,1130,1229,112,1058,858,15686,-1,775,1439,1620,1185,1004,1620,1505,1142,2540,1161,1165,2592,-1,1722,1322,5080,3845,1052,907,2050,1110,1387,616,286,23826
かんり,22801,1052,430,3216,7898,764,358,2640,2332,1352,-1,1392,2009,3529,2709,1511,3529,3294,2618,3622,1011,1180,840,2874,4382,3116,1371,874,1352,2366,559,1249,2081,420,1022,622
がら,22818,6059,12721,8532,1183,7005,16039,74,12985,4688,3554,4809,5815,15491,2296,17459,4099,24302,2225,12065,8336,9464,5870,-1,199,8064,1500,2245,16347,13449,-1,2395,12054,23262,20493,22062
やど,22820,2422,3433,5460,586,6042,4043,5944,4338,3511,-1,3606,1930,3864,3816,1678,3864,3608,3676,3891,4349,4365,3971,-1,2063,5558,1327,1536,951,4115,-1,1919,3881,3185,7347,105167
せいこう,22986,3322,492,1022,1259,2189,825,1279,611,12802,-1,552,1366,1134,1559,966,1134,1052,1505,1696,851,890,24801,15994,1584,1176,2218,20305,873,608,388,1089,1271,801,1016,43147
へいわ,22988,2041,1718,1290,1360,2892,2192,3352,1717,18828,-1,1471,2466,1062,2211,1798,1062,985,2140,2472,1178,1249,4203,4239,2876,1888,4235,2826,1991,1791,590,2216,1807,1710,2563,67330
もんく,22990,1998,13973,1805,922,4645,3142,1911,1710,1461,-1,1505,1546,1632,1916,1103,1632,1515,1852,1632,2024,2160,2148,-1,1743,1897,4124,3498,1302,1794,1451,1631,1226,14179,2131,62752
つつみ,23021,16266,24450,21775,3063,15713,20587,6398,14123,15247,4644,15643,3087,16235,13405,2243,16235,15209,12885,7448,10734,11775,10145,24556,8924,21633,7122,9876,8016,14613,-1,5848,4803,4986,16655,73002
じゆう,23054,1027,471,1409,417,899,647,1220,868,14853,-1,583,870,808,999,429,808,746,961,1994,492,541,781,2909,1065,1089,872,891,905,895,1178,720,1007,712,1472,33543
ものがたり,23067,2467,15430,2126,718,2896,1548,2148,1739,1552,-1,1598,1456,2000,2975,848,2000,1856,2870,1616,1664,1598,2418,1774,1481,3020,6834,21636,2267,1823,2786,1180,2028,14266,1423,32959
しんけん,23069,3103,11920,3197,2041,4025,2124,2966,2284,24969,-1,2090,2148,3515,3001,1509,3515,3280,2894,1470,2350,2641,3389,-1,2272,3300,21732,16771,1275,2412,3774,1466,1049,10616,4048,3351
いほう,23089,13446,5049,8011,-1,7757,3708,4655,3295,2519,-1,2596,18047,12381,14732,13366,12381,11609,14148,15260,1936,2236,11446,-1,8407,13236,13702,10024,9080,3444,6844,10677,11093,6449,6975,5531
さどう,23091,5383,6331,4818,14000,16114,7951,7605,4743,4022,-1,4123,9606,7065,11236,7019,7065,6616,10804,14182,3270,3419,9577,9602,10277,6601,13141,12460,8780,4947,-1,9234,8306,7069,11484,13570
しばい,23093,13446,5642,2796,910,8788,7091,2461,3449,3087,-1,3176,2002,5546,4207,1462,5546,5181,4055,4207,4244,4308,9179,23744,2397,5140,1358,1548,7072,3620,-1,3007,3777,6792,11503,79426
ついか,23104,1998,851,3614,10142,4063,614,4264,3258,2760,-1,2843,11223,5112,3572,8122,5112,4769,3446,5908,3246,3437,2021,22369,11517,3634,7554,4698,1784,3407,2185,5112,3934,922,1512,1027
しきゅう,23212,20704,12949,4157,6358,8517,15132,4222,5945,4195,-1,4300,9316,5089,7694,6723,5089,4746,7403,13585,4893,4753,12036,-1,12198,4848,11385,8919,9057,6194,5027,11017,6941,14540,21266,25907
