word,NETFLIX_rank,CEJC_rank,ADNO,ANIME_JDRAMA,AOZORA_BUNKO,BCCWJ,CC100,CHRISKEMPSON,DAVE_DOEBRICK,DD2_MIGAKU_NETFLIX,DD2_MIGAKU_NOVELS,DD2_MORPHMAN_NETFLIX,DD2_MORPHMAN_NOVELS,DD2_MORPHMAN_SHONEN,DD2_MORPHMAN_SOL,DD2_YOMICHAN_NOVELS,DD2_YOMICHAN_SHONEN,DD2_YOMICHAN_SHONEN_STARS,DD2_YOMICHAN_SOL,DD2_YOMICHAN_VN,HERMITDAVE_2016,HERMITDAVE_2018,H_FREQ,ILYASEMENOV,INNOCENT_RANKED,JITEN_ANIME,JPDB,KOKUGOJITEN,MONODICTS,NAROU,NIER,NOVELS,VN_FREQ,WIKIPEDIA_V2,YOUTUBE_FREQ,YOUTUBE_FREQ_V3
願,6035,6453,11655,12037,355,-1,17432,1027,6175,5505,3899,5639,5009,14681,14189,4887,14681,13772,13624,11733,228,246,19881,8130,1735,8083,2734,3286,2931,11718,3196,7429,7256,11581,17267,16160
あれだけ,6036,-1,-1,3235,-1,-1,-1,4128,5796,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2353,-1,-1,1751,-1,4697,2820,-1,-1,-1,-1,-1,-1,-1,-1,6451,-1
金髪,6037,13446,20073,9012,9909,19210,15836,7805,5799,5225,-1,5356,4674,6109,8045,3390,6109,5712,7737,4647,5754,5951,9450,-1,4735,9404,-1,-1,-1,2185,-1,3186,4137,9636,16374,10818
エイ,6038,-1,8589,3539,-1,-1,-1,-1,5801,17063,-1,-1,10105,17471,11679,-1,18498,17341,6577,24999,9945,10070,-1,14133,-1,7532,4726,5472,8253,-1,2437,12394,-1,8634,14611,12935
お前さん,6039,-1,-1,2669,-1,-1,-1,3586,5802,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,10689,-1,-1,-1,-1,3862,4894,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
明天,6041,-1,-1,-1,-1,-1,-1,23079,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,9198,9609,-1,-1,-1,-1,-1,15232,-1
郭,6043,-1,6665,14800,20040,-1,-1,-1,17542,-1,6926,-1,15228,-1,-1,15222,-1,-1,-1,-1,-1,-1,-1,19897,16408,-1,13739,5506,7243,-1,-1,18776,-1,7290,-1,24344
風味,6044,4880,11868,10013,11210,11346,5835,10197,5800,5000,-1,5125,20176,4228,12867,15164,4228,3951,12373,10284,14937,15995,6613,-1,21953,14213,-1,10992,9535,6491,-1,16094,6694,12832,8236,4310
一撃,6045,16266,15351,3102,5103,21068,17882,8870,5806,5052,-1,5178,3319,1560,7754,2363,1560,1448,7460,1405,6670,7851,9361,-1,3506,3286,22407,-1,-1,717,3023,2417,1836,7910,11781,8380
地下室,6046,-1,-1,14264,5402,24001,20172,13078,5996,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,11504,-1,-1,8481,-1,6102,13313,-1,-1,-1,-1,-1,-1,-1,-1,12809,14988
